"","20210326_31020935670_21R4973AZZA_03.RCC","20210326_31020935670_21R6065AZZA_02.RCC","20210326_31020935670_21R6805AZZA_09.RCC","20210326_31020935670_21R7500AZZA_04.RCC","20210326_31020935670_21R7511AZZA_01.RCC","20210326_31020935670_21R7772AZZA_05.RCC","20210326_31020935670_21R9253AZZA_07.RCC","20210326_31020935670_21R9387AZZA_08.RCC","20210623_208994081021_RN21R3425AZZAA_11.RCC","20210623_208994081021_RN21R3996AZZAB_10.RCC","20210623_208994081021_RN21R5653AZZAB_09.RCC","20210623_208994081021_RN21R6723AZZAB_01.RCC","20210623_208994081021_RN21R7618AZZAB_04.RCC","20210623_208994081021_RN21R7921AZZAA_05.RCC","20210623_208994081021_RN21R9370AZZAB_03.RCC","20210623_208994081021_RN21R9727AZZAA_08.RCC","20210623_208994081021_RN21R9918AZZCA_02.RCC","20220624_209393930622_RN21R2533AZZAA_07.RCC","20220624_209393930622_RN21R2960AZZAA_09.RCC","20220624_209393930622_RN21R2966AZZAA_12.RCC","20220624_209393930622_RN21R3890AZZAA_11.RCC","20220624_209393930622_RN21R5628AZZAA_10.RCC","20220624_209393930622_RN21R8427AZZAA_06.RCC","20220624_209393930622_RN21R9372AZZAA_08.RCC","20220727_209421330722_RN21R3807AZZAA_03.RCC","20220727_209421330722_RN21R5295AZZBA_01.RCC","20220727_209421330722_RN21R8948AZZAA_02.RCC"
"A2M",11.374,9.312,9.785,11.038,9.933,11.361,11.407,12.06,8.336,9.991,11.886,13.666,11.909,11.152,11.424,10.538,11.771,13.111,8.884,13.372,11.618,8.124,11.775,12.232,9.338,8.482,10.722
"ACVR1C",3.482,5.358,6.186,6.633,3.934,5.012,4.145,4.247,3.478,4.59,6.57,4.814,3.274,4.495,3.387,5.949,4.388,5.25,5.414,3.829,4.555,5.628,3.521,5.13,8.231,6.269,4.738
"ADAM12",7.418,5.439,6.955,6.289,6.594,8.784,5.036,10.479,5.237,6.341,10.114,8.556,5.952,7.439,8.526,8.923,9.619,11.432,5.529,9.796,8.293,4.405,8.711,8.148,6.701,5.98,7.047
"ADGRE1",5.778,1.234,3.672,3.149,3.237,3.912,3.573,6.469,2.1,3.137,6.792,4.743,5.2,3.151,5.124,4.463,4.317,7.198,4.636,4.907,3.662,4.82,4.913,6.401,7.116,7.395,4.2
"ADM",6.351,6.162,6.557,7.629,8.231,9.278,5.341,7.616,6.221,5.154,9.6,6.935,7.605,6.005,8.477,7.665,5.836,9.065,8.221,9.733,8.672,7.435,7.315,11.504,9.816,6.897,7.008
"ADORA2A",4.28,3.456,3.972,4.507,5.286,4.729,4.573,5.947,2.778,4.268,5.859,4.247,4.615,5.035,4.61,5.463,3.58,5.25,5.999,6.051,5.346,5.908,4.521,4.795,8.888,6.717,5.722
"AKT1",11.526,11.317,10.38,10.121,13.275,11.028,11.557,10.56,10.694,10.578,9.389,12.003,11.342,10.895,9.95,10.147,11.455,10.391,11.308,9.331,10.587,10.096,10.632,10.446,9.74,10.985,10.721
"ALDOA",11.326,13.34,12.659,12.964,12.622,12.546,12.778,13.305,12.845,11.994,14.04,12.993,13.805,13.99,12.749,12.76,12.591,11.397,13.091,12.562,13.548,13.903,11.665,12.815,13.119,12.531,13.678
"ALDOC",8.558,8.41,11.324,12.795,8.041,10.607,7.279,8.037,8.532,8.279,10.54,8.392,8.33,6.763,7.484,8.533,5.025,7.886,7.584,8.778,8.623,9.133,7.64,8.117,10.575,6.51,8.601
"ANGPT1",5.45,4.064,4.447,4.575,3.08,5.164,5.611,5.871,3.363,4.539,6.648,4.609,3.274,4.62,4.124,6.949,5.87,5.028,4.636,4.566,4.247,5.521,4.106,4.915,8.438,7.668,3.334
"ANGPT2",6.822,6.302,7.425,5.149,7.413,7.135,5.43,9.166,5.927,7.941,8.072,6.757,7.004,7.013,7.148,7.869,8.335,9.282,4.999,8.317,7.755,5.521,8.464,7.214,7.531,6.617,7.079
"ANGPTL4",8.234,7.285,6.303,6.349,4.855,9.491,5.553,7.532,6.732,3.767,7.722,7.671,9.176,9.296,7.705,8.072,8.253,9.454,9.009,6.788,8.354,6.865,6.193,10.677,7.618,5.98,7.171
"ANLN",8.351,8.446,8.234,3.957,8.132,6.288,7.933,6.929,10.815,9.922,7.487,9.278,7.891,8.988,8.618,9.625,10.596,8.289,7.759,9.397,7.779,8.068,8.068,6.294,9.023,5.132,6.014
"APC",9.419,9.21,10.592,11.879,8.51,10.959,9.87,8.866,9.361,9.009,9.58,9.985,9.457,9.277,8.911,9.107,9.163,9.482,9.623,9.907,9.469,9.02,9.648,10.053,9.023,9.51,7.104
"APH1B",6.333,5.633,7.429,7.411,4.529,5.749,7.626,5.469,2.948,4.012,6.207,7.3,6.476,5.893,4.709,5.141,7.006,5.691,6.873,4.829,6.725,6.405,5.565,8.184,7.853,4.81,7.047
"API5",9.492,10.008,10.174,10.282,10.093,9.445,10.464,9.943,9.265,9.525,9.9,9.93,10.949,10.118,10.182,8.909,10.349,9.774,7.529,10.598,9.855,9.608,9.413,10.036,9.531,9.15,10.025
"APLNR",6.442,3.587,5.464,7.138,4.08,10.036,3.27,9.162,4.026,6.08,9.908,8.448,3.274,4.942,5.741,9.427,6.104,8.747,5.636,7.868,7.314,6.464,6.587,7.908,9.364,4.81,4.706
"APOE",12.132,10.229,10.627,12.675,10.912,13.342,9.693,11.316,11.405,10.346,16.086,13.696,12.254,11.276,13.296,12.919,10.28,14.034,7.978,14.018,13.078,12.379,11.614,14.989,10.473,11.105,13.147
"APOL6",9.688,8.468,7.271,7.596,9.73,9.832,7.971,10.826,9.423,8.06,11.392,9.339,9.203,10.426,10.467,10.316,8.307,11.128,8.759,12.996,8.885,8.929,9.422,9.512,8.66,10.827,9.343
"AQP9",4.206,4.778,5.637,4.904,5.274,6.353,5.703,6.891,4.237,4.284,7.648,5.779,6.577,5.893,6.251,7.311,3.902,8.313,6.077,6.868,5.877,7.865,8.121,9.771,9.231,8.395,6.436
"AREG",4.351,3.871,3.926,3.056,9.239,7.644,6.725,8.002,4.237,2.552,6.57,8.56,8.071,11.361,5.1,5.842,9.173,9.013,8.304,6.359,6.888,6.28,5.73,5.359,10.145,6.51,5.396
"ARG1",2.659,2.151,1.672,3.609,0.964,3.768,2.611,3.832,1.778,2.603,4.722,2.527,2.367,1.45,2.539,4.141,0.732,2.443,5.414,3.659,3.176,4.405,3.521,3.972,7.531,5.617,0.831
"ARG2",5.262,4.403,7.28,6.764,8.723,8.185,6.184,6.812,3.363,3.627,7.354,4.505,7.122,5.495,5.918,6.311,5.218,4.765,8.169,6.868,5.498,5.908,5.221,6.226,8.116,6.269,3.77
"ARID1A",8.111,8.908,8.724,8.286,8.448,7.439,8.812,8.269,8.403,7.826,8.892,8.95,8.425,8.908,8.51,8.141,9.196,7.672,8.383,6.681,8.694,8.03,7.65,8.466,7.231,9.318,8.818
"ARNT2",9.485,4.722,9.828,11.236,7.062,10.119,5.375,7.232,5.332,5.41,10.439,8.988,6.04,4.151,6.305,7.186,5.433,8.072,8.687,6.44,6.596,7.775,6.93,8.755,8.74,5.395,4.638
"ATF3",6.458,8.642,7.264,6.891,12.076,9.796,8.699,6.791,8.418,6.976,7.155,8.193,6.652,7.315,7.124,7.27,7.757,6.35,7.255,7.102,8.891,7.548,10.722,9.877,9.116,7.202,8.656
"ATM",9.417,8.617,9.223,9.848,9.192,9.873,9.837,11.413,10.335,9.227,11.357,9.58,10.353,9.758,9.815,10.684,9.434,10.397,7.711,9.61,9.581,9.602,10.023,9.797,8.66,10.447,8.924
"AXIN1",8.253,7.471,6.575,6.16,8.116,8.378,6.513,8.423,8.425,7.071,7.609,6.849,7.725,8.428,7.262,7.665,6.172,7.71,8.272,8.076,8.083,7.99,7.711,7.348,8.779,6.98,7.595
"AXL",9.123,6.135,6.285,7.738,5.646,8.702,5.879,10.222,6.987,6.546,9.766,8.196,6.802,7.66,9.007,9.25,7.498,10.463,5.529,10.851,7.826,7.03,8.037,7.079,6.99,2.81,7.71
"B2M",13.93,13.311,12.03,11.796,12.606,13.835,13.015,14.323,13.282,11.358,18.165,15.207,15.736,15.252,14.871,14.745,13.989,14.825,12.14,16.445,13.248,14.212,13.504,14.625,14.222,14.697,13.028
"BAD",7.462,6.842,6.864,7.068,6.867,7.685,6.105,8.254,7.363,7.541,7.529,6.725,7.698,7.665,8.106,8.207,7.376,7.35,7.186,8.976,6.662,8.435,7.262,7.092,10.508,7.565,6.816
"BAMBI",6.244,5.498,7.027,6.982,8.323,8.028,6.611,6.088,3.363,6.452,6.487,8.268,3.615,5.005,6.876,8.207,5.768,8.043,5.636,6.413,4.809,5.727,7.576,8.66,9.023,5.132,4.604
"BATF3",5.108,3.896,5.503,5.749,4.549,5.192,5.341,6.593,4.301,5.646,7.685,6.032,5.25,4.942,4.89,6.601,6.178,6.531,5.636,6.466,4.942,5.99,5.379,5.401,8.923,5.98,4.947
"BAX",10.704,9.183,9.104,8.899,8.778,9.603,9.648,10.66,9.834,9.971,10.194,9.602,10.466,9.158,10.239,9.207,9.019,10.892,8.806,11.096,10.42,10.142,9.887,10.076,10.023,8.019,10.145
"BBC3",6.93,6.761,7.181,7.098,5.926,9.01,7.346,8.469,8.058,7.913,8.044,7.143,7.948,7.694,7.89,7.696,6.198,8.224,8.077,8.944,8.102,8.775,8.121,7.451,8.779,7.764,8.879
"BBS1",7.239,7.226,7.452,7.58,7.717,7.12,7.728,6.616,8.241,7.736,8.044,6.923,8.004,7.635,6.986,7.785,6.957,6.25,8.018,6.273,7.7,7.435,7.825,6.272,7.338,6.81,7.777
"BCAT1",8.733,9.992,6.575,8.423,5.598,7.206,5.513,5.871,6.987,5.049,8.667,9.269,8.711,6.893,8.914,6.533,6.723,8.443,5.529,8.642,8.976,7.908,6.671,9.721,9.364,5.98,6.868
"BCL2",7.258,3.649,8.195,7.58,4.887,8.071,3.27,6.684,4.17,4.915,6.4,6.994,6.624,5.205,5.945,6.533,5.6,7.42,6.151,6.359,5.877,4.99,6.964,7.294,7.438,6.81,4.89
"BCL2L1",10.929,9.134,9.034,9.317,8.085,10.114,8.836,10.111,8.743,9.157,8.843,9.352,10.61,9.867,9.652,8.896,9.278,10.359,9.994,10.82,9.328,8.23,8.964,10.043,9.575,11.039,9.145
"BCL6B",4.046,3.618,3.059,4.575,3.772,4.805,4.451,7.037,3.865,5.245,6.4,4.779,3.274,4.405,3.741,6.601,5.811,6.301,5.529,4.359,5.102,5.628,5.565,4.272,7.438,3.81,4.604
"BID",7.584,5.678,6.963,6.771,5.627,6.234,7.237,7.054,4.1,4.603,6.792,7.451,7.577,6.868,6.326,7.141,7.455,6.35,5.999,6.387,6.14,6.628,6.498,6.999,7.99,7.269,6.63
"BIRC3",5.497,3.845,1.557,3.609,3.134,4.805,3.611,5.569,3.1,5.12,6.307,3.899,5.455,6.61,4.945,4.949,2.317,5.35,5.736,6.213,7.562,6.678,3.843,4.664,8.485,7.668,5.104
"BIRC5",8.344,7.909,8.944,3.319,8.136,7.112,6.743,8.154,8.873,8.988,6.792,8.322,7.557,8.67,8.568,9.095,9.248,8.157,7.114,9.118,7.034,8.493,7.989,6.538,8.389,4.395,5.513
"BLK",3.351,2.312,3.779,1.734,2.286,3.69,2.27,4.832,4.478,2.33,6.307,3.083,2.952,3.538,3.465,5.463,1.87,4.028,4.414,6.331,4.102,5.142,2.843,3.731,5.531,8.132,3.153
"BLM",5.726,5.119,6.262,5.416,5.093,4.378,5.352,5.832,4.532,4.539,6.722,6.147,5.996,6.296,4.539,6.949,6.405,5.903,5.829,4.566,3.855,6.775,3.98,5.915,8.116,7.51,3.77
"BMP2",5.148,8.15,7.597,5.904,4.789,11.07,7.558,6.019,9.117,4.431,7.648,5.039,6.818,3.538,5.817,8.617,6.498,6.613,6.636,4.118,6.281,5.521,7.121,6.575,6.853,4.81,4.153
"BNIP3",7.95,7.094,7.806,8.586,8.601,9.171,5.918,8.193,9.429,8.34,9.749,7.545,7.449,9.071,8.085,10.621,7.438,7.593,8.543,8.126,8.268,9.634,6.896,8.681,10.45,8.019,8.451
"BNIP3L",8.602,9.044,10.218,10.129,9.466,8.248,11.461,8.593,5.45,6.414,8.155,9.136,9.81,10.081,8.109,7.756,8.971,7.374,8.321,7.887,8.534,9.328,8.576,10.593,10.039,11.781,9.498
"BRCA1",6.924,6.943,6.949,5.904,5.637,5.451,6.05,5.417,6.897,6.615,6.1,7.191,6.652,7.745,6.89,6.842,7.585,6.087,6.414,6.566,5.582,6.405,5.328,6.13,6.116,6.269,4.77
"BRCA2",7.434,8.203,6.63,4.471,5.994,6.261,7.48,6.871,6.026,7.1,5.722,7.147,7.148,7.225,7.142,6.785,7.271,6.25,7.352,7.102,7.447,7.703,6.543,6.5,7.438,7.058,6.672
"BRD3",8.748,8.925,8.308,9.136,9.864,9.667,8.067,9.995,10.389,9.147,10.239,9.376,8.744,8.879,9.557,10.673,8.363,9.756,8.584,10.202,9.287,9.678,9.611,9.026,8.779,9.077,9.159
"BRD4",9.604,9.314,8.676,9.505,9.471,10.177,8.792,10.97,9.811,10.131,10.916,9.109,8.831,9.469,10.311,9.592,9.351,10.531,9.812,10.799,9.819,9.5,10.027,9.505,9.116,8.854,9.583
"BRIP1",7.58,6.626,6.564,4.877,7.301,5.877,5.386,5.569,8.425,7.417,5.722,6.495,6.367,7.13,6.387,7.601,7.083,5.967,4.636,5.944,6.264,7.213,5.106,4.178,7.853,8.302,5.621
"BTLA",2.543,2.064,0.972,1.957,1.701,1.842,2.27,3.662,-0.222,3.137,3.4,3.247,1.952,0.45,3.387,4.141,-0.59,4.443,3.414,3.829,4.761,4.142,2.843,4.079,6.531,9.095,3.416
"C1QA",9.877,9.082,8.693,10.1,9.34,10.191,8.716,11.342,7.636,8.078,12.207,12.083,11.416,10.701,10.159,8.987,9.103,12.611,7.783,11.511,10.965,9.01,10.149,13.158,9.888,9.38,11.449
"C1QB",10.295,8.686,9.562,9.944,9.341,9.413,8.563,10.119,7.016,6.678,10.758,11.852,11.3,9.874,9.124,7.974,9.162,11.751,7.958,11.428,9.925,7.703,9.935,12.74,9.957,8.482,10.713
"C2",5.766,6.273,5.347,6.258,6.256,7.886,9.507,9.121,6.897,10.688,9.809,7.945,9.673,9.037,8.989,8.481,5.281,9.244,5.736,8.42,9.728,8.703,7.788,9.899,9.116,7.51,9.388
"C5",10.089,7.083,5.303,6.194,4.589,8.919,7.158,9.554,7.478,11.424,7.1,6.537,7.491,7.321,9.049,7.949,6.243,6.729,6.288,7.213,5.737,6.405,9.076,5.826,8.923,4.81,5.96
"C5AR1",4.418,4.018,2.879,3.673,4.212,6.895,3.79,6.019,5.844,4.5,8.985,5.069,6.586,5.517,5.999,8.048,4.025,6.25,5.529,6.016,6.596,7.178,6.947,8.136,8.286,8.668,6.014
"C7",4.28,2.871,4.7,4.397,4.754,4.22,3.171,4.247,5.478,6.322,10.695,6.208,5.068,6.165,6.305,4.463,6.178,8.263,6.636,8.981,7.401,5.628,3.843,5.593,9.175,4.395,5.785
"CASP1",8.741,7.399,7.325,7.226,5.627,8.695,8.637,9.819,7.378,6.28,10.394,9.317,10.355,8.674,10.245,8.936,9.56,10.017,6.636,10.881,8.212,8.312,9.172,9.133,8.66,8.98,8.431
"CASP3",7.994,8.454,8.519,7.708,7.459,6.987,8.71,8.088,4.478,6.093,7.044,8.817,9.029,8.734,7.05,7.311,8.235,8.238,6.352,7.504,7.289,7.464,8.165,8.338,7.99,9.717,7.746
"CASP8",8.961,7.234,6.876,5.339,6.39,7.591,8.439,9.723,8.897,6.917,9.509,8.112,8.373,8.703,8.323,8.164,8.208,7.967,8.501,9.342,8.579,9.087,8.276,7.672,7.438,9.578,8.48
"CASP9",6.617,6.858,6.32,7.613,8.055,8.324,6.456,8.063,9.212,7.372,8.1,7.16,7.231,7.405,7.579,7.923,6.957,7.869,7.851,7.213,7.462,7.843,7.51,7.731,7.923,6.81,7.426
"CBLC",5.912,4.386,4.616,3.056,3.379,2.979,6.282,6.749,6.708,5.969,6.4,4.915,4.615,6.08,5.326,5.601,5.75,5.144,5.151,5.659,5.439,7.312,7.15,2.272,6.853,5.617,6.532
"CCL13",3.206,7.052,1.879,2.957,3.589,5.67,4.553,4.569,6.598,5.889,7.57,5.537,9.998,8.851,5.217,7.923,3.498,8.623,5.151,6.659,8.551,7.178,5.65,11.764,8.853,2.81,7.46
"CCL14",4.003,3.97,3.329,3.673,6.44,3.52,2.363,5.306,3.865,5.466,8.044,7.352,4.122,4.094,4.802,8.024,5.75,5.144,5.636,6.589,6.424,4.82,4.691,5.178,6.338,5.132,4.77
"CCL18",5.385,7.658,4.294,5.673,5.467,7.744,5.676,7.232,6.636,5.012,10.044,6.532,7.542,7.02,6.427,9.38,4.696,9.686,7.759,6.848,7.832,8.507,7.93,12.314,10.553,9.15,9.747
"CCL19",4.316,3.193,3.101,2.957,3.772,5.275,2.611,5.469,3.585,2.954,9.194,4.589,3.615,4.035,6.825,7.665,2.218,7.729,4.999,7.517,5.921,4.405,5.106,4.079,5.116,5.395,3.89
"CCL2",10.714,11.331,8.53,12.027,8.322,13.148,8.817,11.183,12.657,8.587,14.27,12.518,13.038,9.578,12.327,12.025,11.125,12.978,10.062,12.452,12.051,11.344,11.888,15.473,11.138,9.019,11.223
"CCL20",4.385,3.649,5.637,3.319,2.839,4.105,4.341,6.495,2.778,2.5,6.1,5.451,10.346,7.116,9.377,6.665,4.083,5.691,6.473,10.415,9.203,7.405,6.63,6.714,11.764,5.81,7.223
"CCL21",3.206,1.523,2.142,3.542,2.772,4.164,2.887,4.662,3.363,4.154,6.307,2.439,3.068,3.62,4.61,9.665,2.732,4.443,5.151,5.182,3.942,5.82,3.691,3.972,8.389,5.132,3.494
"CCL22",2.865,3.678,4.364,2.609,1.379,3.105,2.887,2.984,3.478,4.012,5.859,5.84,5.557,9.103,3.539,7.048,0.995,6.028,4.999,3.829,4.761,7.678,5.379,4.972,7.231,3.81,6.027
"CCL3/L1",7.422,8.21,8.535,9.211,6.651,10.386,7.118,7.17,4.987,6.035,9.233,11.442,8.824,6.495,8.537,7.048,10.509,7.224,7.383,7.848,9.33,8.16,9.797,12.959,11.383,6.269,8.101
"CCL4",6.72,7.934,7.603,9.881,6.514,11.261,6.402,7.651,7.585,5.978,12.225,11.389,8.579,7.264,9.263,9.341,10.72,7.633,6.352,8.007,9.411,8.247,9.045,10.732,10.639,8.019,7.638
"CCL5",6.798,7.706,5.423,5.172,6.646,7.824,4.703,9.46,7.285,7.208,11.172,9.733,7.367,7.838,8.776,9.703,6.083,10.618,6.077,9.767,9.405,6.865,8.63,7.879,9.853,14.038,8.726
"CCL7",2.28,6.103,0.972,2.149,1.839,4.805,1.533,4.749,3.948,4.445,5.859,6.527,5.011,5.283,5.262,6.048,3.498,4.613,5.829,4.659,3.761,5.521,1.521,8.584,8.888,2.81,3.706
"CCL8",3.659,7.768,4.22,3.734,3.508,7.334,1.685,4.469,6.187,4.403,6.924,8.552,6.213,6.035,6.897,6.726,6.353,6.801,5.736,7.577,5.176,5.405,6.354,9.388,8.66,3.81,5.053
"CCNA1",3.602,3.587,4.83,6.247,3.187,5.353,2.611,4.569,3.363,3.993,6.57,3.484,2.952,2.772,3.61,4.726,6.382,4.25,5.414,4.118,4.176,6.28,3.691,5.13,7.338,5.81,2.568
"CCNB1",8.376,9.087,9.723,6.957,8.178,6.921,9.639,8.557,7.953,9.362,7.444,8.253,8.816,9.957,8.31,8.25,9.441,8.35,7.352,9.482,8.194,9.595,7.964,6.886,8.575,8.058,7.296
"CCND1",11.515,9.064,10.058,8.121,6.669,10.793,8.405,11.219,8.09,7.274,10.4,9.878,10.919,10.644,10.038,9.542,11.272,9.809,9.705,11.316,10.581,9.703,9.563,7.993,10.299,9.219,11.511
"CCND2",7.372,5.603,8.452,9.243,4.646,8.196,9.806,7.362,3.865,5.805,7.722,9.383,10.283,7.013,7.278,6.949,7.83,7.198,10.623,6.566,8.102,9.03,8.404,8.178,8.853,7.668,7.334
"CCND3",9.27,9.361,6.795,7.853,5.161,8.043,7.187,8.088,8.016,8.342,8.307,7.492,8.381,9.409,8.243,8.118,7.246,8.552,8.057,9.317,7.541,8.178,7.091,7.079,9.413,10.086,7.301
"CCNE1",7.981,6.198,5.423,6.681,7.402,6.895,5.563,7.088,7.221,6.969,9.058,7.777,6.054,7.073,6.986,9.889,8.216,6.35,5.999,6.788,6.843,7.435,5.98,6.053,9.116,6.717,7.073
"CCNO",6.158,7.183,6.338,3.542,6.968,4.946,6.937,6.277,6.117,8.302,5.207,4.221,6.298,7.399,4.465,5.311,5.629,4.443,5.829,6.907,3.439,6.865,6.302,3.593,8.531,3.81,4.672
"CCR2",4.482,3.273,2.972,3.734,2.903,4.52,3.948,5.616,4.363,4.944,6.4,6.069,6.835,5.333,5.025,6.665,3.41,6.198,5.529,6.829,4.712,6.575,4.521,5.359,8.338,9.468,5.785
"CCR4",4.28,3.845,2.364,3.542,3.237,4.327,2.948,5.247,2.948,4.445,6.307,6.024,4.689,4.405,5.465,6.048,1.87,6.25,5.288,4.981,7.401,5.727,6.843,5.519,8.338,6.717,6.777
"CCR5",5.088,4.349,4.121,4.194,3.549,4.729,2.756,5.984,3.948,3.526,7.792,7.663,6.321,5.736,5.932,6.785,4.56,6.443,5.151,5.613,5.346,3.82,5.475,7.62,7.779,7.764,5.722
"CD14",8.708,7.585,8.637,9.209,8.069,9.777,7.221,9.857,9.218,6.964,12.69,11.244,11.488,9.255,11.354,10.101,9.367,12.073,7.443,11.428,10.016,9.187,9.344,12.789,9.023,10.63,9.055
"CD163",9.503,8.262,7.427,8.507,9.23,9.864,6.451,10.14,8.705,8.452,13.911,11.772,11.425,11.54,11.671,10.196,9.141,13.247,7.443,11.335,11.051,9.507,9.132,13.702,9.531,9.019,9.753
"CD19",3.602,2.818,2.879,3.319,1.549,3.842,3.685,5.616,4.237,3.745,6.648,4.112,3.759,3.151,4.427,6.785,3.58,4.765,5.999,6.962,4.942,5.521,3.98,2.857,8.485,8.482,4.375
"CD1C",3.865,2.234,2.672,3.149,2.467,4.607,2.887,4.91,2.1,3.33,6.207,5.752,8.452,3.62,7.321,6.665,3.54,7.058,5.151,4.244,5.498,5.99,6.013,6.557,6.99,8.81,5.312
"CD2",5.434,5.798,3.644,3.957,4.508,5.768,5.397,7.376,3.237,4.459,6.648,6.516,5.793,5.826,6.326,5.726,3.658,7.301,5.151,7.427,6.596,6.344,6.193,6.421,6.531,8.741,7.092
"CD209",3.659,5.064,5.111,3.609,3.424,4.69,3.064,4.662,4.1,5.33,7.685,7.768,9.364,6.258,4.347,7.095,4.243,7.509,5.529,6.848,5.636,5.142,5.045,9.625,7.99,4.395,4.89
"CD244",5.28,2.523,2.972,3.793,3.701,4.805,2.611,6.812,3.363,3.417,7.258,5.272,5.577,3.62,5.262,6.311,2.658,6.443,4.414,4.829,4.809,4.405,6.013,6.611,5.853,8.365,5.312
"CD247",2.865,3.108,2.672,3.397,2.701,3.842,2.948,5.121,2.363,3.359,7.859,5.428,4.952,4.035,3.217,6.048,1.87,5.25,3.829,4.907,5.761,4.405,4.221,3.972,6.116,7.897,5.027
"CD27",4.385,3.273,2.557,3.056,2.379,4.275,2.171,5.306,3.478,4.905,6.722,6.473,4.367,4.736,5.427,6.842,1.87,5.903,5.288,7.228,6.866,5.908,5.565,5.557,8.66,8.876,5.89
"CD274",5.497,5.618,3.83,6.032,3.665,7.34,6.621,8.348,9.821,5.012,8.233,9.162,7.344,8.942,6.802,6.785,4.785,8.171,5.999,9.574,6.176,8.678,6.825,7.841,8.779,6.395,7.177
"CD276",10.24,9.849,8.97,9.21,9.39,9.975,8.689,11.308,9.079,9.392,9.766,9.855,10.819,10.261,9.682,11.133,9.732,11.323,9.391,10.846,10.209,10,10.234,10.518,8.816,7.897,9.728
"CD28",4.631,4.13,2.83,3.149,4.508,5.67,2.171,4.247,4.478,4.722,6.307,6.279,8.098,6.005,6.063,6.999,4.025,6.198,5.529,4.907,6.394,5.908,5.806,9.255,8.054,8.939,5.621
"CD300A",6.941,5.358,6.522,6.757,5.637,7.509,5.523,7.138,4.532,4.778,7.985,8.316,8.598,7.225,7.635,6.949,5.957,7.903,5.288,6.331,7.221,7.628,6.565,10.524,8.74,8.741,6.801
"CD36",3.28,5.119,4.431,3.85,6.96,6.649,5.036,9.232,3.778,5.728,6.648,8.42,10.036,13.198,7.294,6.785,7.446,9.238,3.829,7.808,7.953,11.493,6.671,10.502,7.618,11.314,5.416
"CD38",5.804,5.075,5.162,7.425,6.218,7.564,5.863,6.495,6.081,5.431,8.307,7.16,5.095,5.308,5.986,7.048,5.124,7.42,4.829,8.944,6.555,7.464,6.193,7.937,5.116,8.167,7.475
"CD3D",5.497,5.555,3.805,3.397,4.822,5.729,3.533,7.852,3.948,5.778,7.57,8.147,6.444,5.893,7.321,6.665,4.138,8.765,5.151,8.31,7.194,2.82,6.947,6.316,5.116,11.561,7.47
"CD3E",5.298,4.649,3.016,2.319,4.701,5.403,3.649,7.581,2.778,4.687,6.924,6.297,5.148,4.736,5.861,6.048,2.87,7.653,4.636,7.636,6.888,4.405,6.452,5.698,8.338,11.014,6.762
"CD3G",3.418,3.018,2.059,2.734,2.187,3.52,2.064,4.662,4.363,4.067,7.258,4.589,4.011,3.974,4.644,6.896,2.995,5.25,1.829,5.566,4.102,3.82,2.521,3.593,7.531,8.454,4.706
"CD4",5.924,4.934,4.658,5.397,5.333,6.275,4.649,7.019,4.948,5.396,8.354,6.923,6.733,6.035,6.584,6.842,4.41,8.101,5.999,7.166,7.306,6.344,7.06,8.033,8.618,6.897,7.375
"CD40",8.841,8.359,5.059,6.068,5.855,6.607,7.5,8.355,7.09,4.915,9.058,8.839,8.926,7.906,8.616,7.785,8.609,8.386,8.515,9.335,8.268,7.312,7.44,8.104,8.054,8.365,8.831
"CD40LG",2.659,1.871,-1.028,2.734,1.701,2.842,1.363,3.984,3.865,4.22,5.207,5.083,4.321,3.035,4.503,6.229,1.732,4.25,4.636,4.659,3.555,6.142,4.428,3.731,7.853,5.617,3.89
"CD44",9.937,9.829,9,9.02,10.313,11.076,8.266,11.338,8.344,8.675,12.687,10.732,11.403,11.36,12.524,11.324,11.233,11.415,7.851,10.632,11.584,10.718,10.425,11.562,11.438,11.114,10.865
"CD45RA",3.766,2.871,2.672,3.542,3.424,4.427,2.611,6.247,3.778,4.473,6.307,5.285,3.952,3.151,4.217,6.463,1.41,4.903,4.151,5.788,5.761,4.405,5.106,4.359,5.531,8.96,5.396
"CD45RB",6.835,5.086,5.162,5.863,4.737,6.462,5.79,7.43,4.1,5.315,8.57,7.061,7.738,6.45,6.685,6.389,5.658,7.935,5.414,5.981,7.297,5.908,6.63,8.566,6.853,9.095,7.527
"CD45RO",8.331,6.893,7.005,7.103,7.107,7.71,6.926,8.224,6.478,6.52,9.59,10.051,10.572,8.734,9.206,8.499,7.583,9.667,5.151,9.085,9.128,7.703,8.576,10.142,7.338,9.185,8.865
"CD47",12.111,11.355,10.061,10.657,8.344,9.662,11.469,8.807,8.912,7.857,9.058,11.527,12.232,11.123,11.324,9.763,11.389,10.423,10.263,11.998,11.127,10.697,9.249,11.409,8.286,9.897,11.365
"CD48",6.368,4.555,4.398,3.237,5.719,5.768,4.685,5.662,3.685,5.954,6.722,8.221,7.304,5.826,7.928,6.389,3.965,7.374,4.151,8.547,7.024,5.628,7.091,7.237,7.438,12.706,7.073
"CD5",4.936,4.871,3.329,4.103,3.467,4.52,3.493,6.469,5.332,4.299,7.1,6.673,4.827,4.843,5.972,6.311,2.498,6.729,5.151,7.359,7.024,4.628,5.947,5.359,6.853,10.395,7.034
